Date,Home,hpts,Away,apts
11/19/14,Notre Dame de Namur,46,San Francisco,86
11/19/14,Pepperdine,63,San Jose St.,44
11/19/14,Nebraska Omaha,74,Seattle,98
11/19/14,Siena,73,St. Bonaventure,70
11/19/14,Army,74,St. Francis NY,71
11/19/14,LIU Brooklyn,53,St. John's,66
11/19/14,Lamar,55,Texas St.,65
11/19/14,Toccoa Falls,58,The Citadel,71
11/19/14,Abilene Christian,39,Tulsa,65
11/19/14,Missouri S&T,77,UMKC,90
11/19/14,Johnson & Wales NC,48,UNC Asheville,87
11/19/14,Santa Clara,54,Utah St.,60
11/19/14,Indiana South Bend,55,Valparaiso,91
11/19/14,South. Vermont,41,Vermont,86
11/19/14,Liberty,63,Virginia Tech,73
11/19/14,Green Bay,60,Wisconsin,84
11/20/14,USC,46,Akron,66
11/20/14,Southern Miss,67,Alabama,81
11/20/14,Loyola Marymount,44,Arizona St.,68
11/20/14,New Mexico,65,Boston College,69
11/20/14,New Hampshire,63,Bryant,72
11/20/14,Syracuse,59,California,73
11/20/14,Penn St.,97,Charlotte,106
11/20/14,College of Charleston,57,Connecticut,65
11/20/14,Texas A&M,53,Dayton,55
11/20/14,Virginia Lynchburg,51,East Carolina,92
11/20/14,UC Davis,63,Eastern Illinois,61
11/20/14,UT Arlington,66,Grand Canyon,64
11/20/14,Florida Atlantic,49,Harvard,71
11/20/14,SMU,68,Indiana,74
11/20/14,Texas,71,Iowa,57
11/20/14,Northwestern St.,89,LSU Alexandria,79
11/20/14,Fordham,50,Maryland,66
11/20/14,Drexel,46,Miami FL,66
11/20/14,Detroit,62,Michigan,71
11/20/14,Franklin Pierce,57,Minnesota,109
11/20/14,Southern,38,Mississippi,69
11/20/14,Brescia,56,Murray St.,89
11/20/14,Jacksonville,43,North Carolina St.,79
11/20/14,Fresno St.,52,Northern Arizona,73
11/20/14,Idaho,67,Northern Illinois,78
11/20/14,Morgan St.,53,Northern Iowa,73
11/20/14,North Florida,67,Northwestern,69
11/20/14,Navy,51,Providence,88
11/20/14,Grambling St.,30,Purdue,82
11/20/14,Howard,52,Radford,61
11/20/14,UMass Lowell,57,Sacred Heart,54
11/20/14,Denver,62,Saint Mary's,78
11/20/14,Niagara,61,Saint Peter's,59
11/20/14,Cal St. Bakersfield,27,San Diego St.,51
11/20/14,Winthrop,58,Savannah St.,59
11/20/14,Cornell,45,South Carolina,69
11/20/14,Palm Beach Atlantic,85,Stetson,96
11/20/14,New Orleans,71,TCU,86
11/20/14,Texas Southern,58,Tennessee,70
11/20/14,Champion Baptist,29,Tennessee Martin,115
11/20/14,Fisk,60,Tennessee St.,75
11/20/14,Mississippi Valley St.,61,Tulane,100
11/20/14,South Florida,73,UAB,71
11/20/14,Eckerd,59,UCF,76
11/20/14,Nicholls St.,74,UCLA,107
11/20/14,Bob Jones,41,USC Upstate,107
11/20/14,Lipscomb,62,Vanderbilt,72
11/20/14,Maryland Eastern Shore,66,VCU,106
11/20/14,Bucknell,65,Villanova,72
11/20/14,SUNY Old Westbury,49,Wagner,83
11/20/14,George Mason,65,West Virginia,91
11/20/14,Keystone,69,St. Francis PA,102
11/20/14,Pacific Union,56,Pacific,81
11/20/14,Bluefield Coll.,57,William & Mary,100
11/21/14,Hampton,82,Alcorn St.,69
11/21/14,Delaware St.,71,Arkansas,99
11/21/14,Louisiana Lafayette,80,Auburn,105
11/21/14,Prairie View A&M,45,Baylor,60
11/21/14,Delaware,60,Cal Poly,78
11/21/14,Towson,58,Central Connecticut,49
11/21/14,Georgia St.,70,Colorado St.,80
11/21/14,Temple,54,Duke,74
11/21/14,Youngstown St.,62,Eastern Michigan,71
11/21/14,Wofford,54,Fairfield,36
11/21/14,Louisiana Monroe,56,Florida,61
11/21/14,Clemson,70,Gardner Webb,72
11/21/14,Troy,60,Georgia,82
11/21/14,IPFW,69,Georgia Tech,78
11/21/14,Florida A&M,49,Grand Canyon,64
11/21/14,Pittsburgh,70,Hawaii,74
11/21/14,Stony Brook,65,Hofstra,66
11/21/14,Austin Peay,66,Illinois,107
11/21/14,Southern Illinois,51,Kent St.,74
11/21/14,Boston University,65,Kentucky,89
11/21/14,Kansas St.,60,Long Beach St.,69
11/21/14,Morehead St.,64,Louisiana Tech,73
11/21/14,Marshall,67,Louisville,85
11/21/14,Jarvis Christian,70,McNeese St.,85
11/21/14,Loyola Chicago,52,Michigan St.,87
11/21/14,Bethune Cookman,50,Monmouth,73
11/21/14,Seton Hall,68,Nevada,60
11/21/14,Kennesaw St.,55,North Dakota St.,68
11/21/14,Milwaukee,68,Oklahoma St.,82
11/21/14,LSU,61,Old Dominion,70
11/21/14,Toledo,68,Oregon,78
11/21/14,Oral Roberts,42,Oregon St.,55
11/21/14,American,63,Presbyterian,38
11/21/14,Lehigh,74,Rider,78
11/21/14,Washington,63,Seattle,48
11/21/14,Arkansas Pine Bluff,46,Valparaiso,59
11/21/14,Sam Houston St.,93,South Dakota,85
11/21/14,North Dakota,72,South Dakota St.,74
11/21/14,Longwood,81,UNC Greensboro,79
11/21/14,Stanford,89,UNLV,60
11/21/14,UC Riverside,42,Utah,88
11/21/14,George Washington,42,Virginia,59
11/21/14,Iona,85,Wake Forest,81
11/21/14,Idaho St.,68,Washington St.,80
11/21/14,Illinois St.,73,Weber St.,64
11/21/14,Hiwassee,53,Western Carolina,72
11/21/14,Stephen F. Austin,63,Xavier,81
11/21/14,Illinois Chicago,58,Yale,70
11/21/14,Maine,48,Central Michigan,76
11/21/14,Florida Memorial,48,FIU,74
11/21/14,Dayton,64,Connecticut,75
11/21/14,Texas A&M,59,College of Charleston,50
11/21/14,USC,72,Drexel,70
11/21/14,Akron,51,Miami FL,79
11/21/14,Boston College,66,West Virginia,70
11/21/14,Charlotte,65,South Carolina,63
11/21/14,New Mexico,69,George Mason,58
11/21/14,Penn St.,72,Cornell,71
11/21/14,Iowa,63,Syracuse,66
11/21/14,Texas,71,California,55
11/22/14,Duquesne,102,Abilene Christian,81
11/22/14,Western St.,60,Air Force,90
11/22/14,Quinnipiac,76,Albany,73
11/22/14,UMKC,68,Arkansas Little Rock,73
11/22/14,Manhattan,78,Binghamton,63
11/22/14,Mount St. Mary's,73,Bucknell,69
11/22/14,Loyola MD,39,Butler,80
11/22/14,San Jose St.,66,Cal St. Fullerton,70
11/22/14,Samford,72,Cal St. Northridge,79
11/22/14,Colgate,54,Campbell,48
11/22/14,Southeast Missouri St.,74,Central Arkansas,68
11/22/14,Wright St.,86,Charleston Southern,79
11/22/14,Trinity Christian,52,Chicago St.,75
11/22/14,Piedmont International,33,Coastal Carolina,76
11/22/14,South Alabama,53,Detroit,66
11/22/14,UNC Asheville,87,East Tennessee St.,98
11/22/14,Cincinnati Clermont,50,Eastern Kentucky,115
11/22/14,UNC Greensboro,62,Eastern Michigan,70
11/22/14,Sam Houston St.,74,Fairfield,60
11/22/14,UC Davis,58,Furman,55
11/22/14,Robert Morris,66,Georgetown,80
11/22/14,Johnson,41,Georgia Southern,97
11/22/14,St. Thomas Aquinas,55,Gonzaga,109
11/22/14,Morgan St.,57,Houston,72
11/22/14,Lamar,72,Indiana,85
11/22/14,Brown,66,Indiana St.,78
11/22/14,Ball St.,69,IUPUI,71
11/22/14,Miles,71,Jacksonville St.,88
11/22/14,Illinois Chicago,60,Kent St.,78
11/22/14,Saint Peter's,50,La Salle,59
11/22/14,Transylvania,63,Lipscomb,74
11/22/14,Youngstown St.,82,Longwood,72
11/22/14,American,44,Louisiana Tech,63
11/22/14,Army,76,Marist,62
11/22/14,Nebraska Omaha,97,Marquette,89
11/22/14,Liberty,52,Miami OH,63
11/22/14,Southern,48,Middle Tennessee,66
11/22/14,UMBC,51,Minnesota,69
11/22/14,Utah St.,63,Mississippi St.,71
11/22/14,Central Connecticut,50,Monmouth,65
11/22/14,Presbyterian,49,Morehead St.,69
11/22/14,Hartford,65,Niagara,62
11/22/14,UMass Lowell,63,NJIT,61
